perturbation_std,perturbation_magnitude,pred_energy,energy_change,stability_metric
0.1,0.2291306875653875,-1551.3074502551165,5.857657470187405e-07,2.5564700782208944e-06
0.1,0.08011293129135157,-1551.3074505756297,2.652525381563464e-07,3.3109828032704e-06
0.1,0.180916874478078,-1551.3074496030379,1.2378443443594733e-06,6.842061290558382e-06
0.1,0.11226438633120012,-1551.3074507524648,8.841743692755699e-08,7.875822399095599e-07
0.1,0.14435953847026248,-1551.3074495367248,1.304157422055141e-06,9.034092481671264e-06
0.1,0.2019938180861067,-1551.3074494040986,1.4367835774464766e-06,7.113007667010374e-06
0.1,0.1589956407640907,-1551.3074503987948,4.420874120114604e-07,2.780500204966979e-06
0.1,0.1806862814238127,-1551.3074505093166,3.3156561585201416e-07,1.835034807600028e-06
0.1,0.16682032039515757,-1551.307449857238,9.83644213192747e-07,5.896429225606841e-06
0.1,0.2508160390956518,-1551.3074509292996,-8.841743692755699e-08,3.525190701962485e-07
0.1,0.1992242199487314,-1551.3074496472466,1.1936356258956948e-06,5.991418240230653e-06
0.1,0.18606887485510937,-1551.3074493930465,1.4478357570624212e-06,7.7811818737106e-06
0.1,0.17613613734154795,-1551.3074501224903,7.18391902410076e-07,4.07861732887426e-06
0.1,0.21648866582139248,-1551.3074508519344,-1.1052179615944624e-08,5.1052001123965055e-08
0.1,0.16075561344926456,-1551.3074497577684,1.0831138297362486e-06,6.737642349293896e-06
0.1,0.12956074552301952,-1551.3074500893338,7.515484412579099e-07,5.800741865477344e-06
0.1,0.18409048119822927,-1551.3074494483074,1.392574858982698e-06,7.564621751011158e-06
0.1,0.12245341019069061,-1551.3074496251422,1.215739985127584e-06,9.928183970063017e-06
0.1,0.16981695007552322,-1551.3074511724476,-3.315653884783387e-07,1.9524870051878327e-06
0.1,0.15624840452559793,-1551.3074502551165,5.857657470187405e-07,3.7489390590729614e-06
0.2,0.26554472654761035,-1551.3074497798727,1.0610094705043593e-06,3.995596086200446e-06
0.2,0.2093323188817309,-1551.3074484536112,2.3872710244177142e-06,1.1404216205267658e-05
0.2,0.31847710866311174,-1551.3074506198384,2.2104381969256792e-07,6.940650163242463e-07
0.2,0.363538887595372,-1551.3074503987948,4.420874120114604e-07,1.2160663603666749e-06
0.2,0.23075579855537473,-1551.3074503987948,4.420874120114604e-07,1.9158236308145894e-06
0.2,0.24533352377742565,-1551.30744935989,1.480992295910255e-06,6.036648691559141e-06
0.2,0.39613323945134177,-1551.3074501335425,7.073397227941314e-07,1.7856106283715556e-06
0.2,0.3474914555177085,-1551.3074496030379,1.2378443443594733e-06,3.562229586793879e-06
0.2,0.3577790015193809,-1551.307450288273,5.526092081709066e-07,1.5445546151945317e-06
0.2,0.2640100470368138,-1551.3074497135597,1.127322548200027e-06,4.269998662648745e-06
0.2,0.39825218918973154,-1551.307449116742,1.7241402474610368e-06,4.329267468776453e-06
